Grapheme	IPA	STRUCTURE
iɜːŋ	j ɜː ŋ	m n c
iɜːp	j ɜː p	m n c
iɜːt	j ɜː t	m n c
iɜːu	j ɜː w	m n c
iɜːɥ	j ɜː ɥ	m n c
iɜːw	j ɜː w	m n c
iɜːy	j ɜː ɥ	m n c
iɜi	j ɜ j	m n c
iɜj	j ɜ j	m n c
iɜk	j ɜ k	m n c
iɜm	j ɜ m	m n c
iɜn	j ɜ n	m n c
iɜng	j ɜ ŋ	m n c
iɜŋ	j ɜ ŋ	m n c
iɜp	j ɜ p	m n c
iɜt	j ɜ t	m n c
iɜu	j ɜ w	m n c
iɜɥ	j ɜ ɥ	m n c
iɜw	j ɜ w	m n c
iɜy	j ɜ ɥ	m n c
ii:i	j iː j	m n c
ii:j	j iː j	m n c
ii:k	j iː k	m n c
ii:m	j iː m	m n c
ii:n	j iː n	m n c
ii:ng	j iː ŋ	m n c
ii:ŋ	j iː ŋ	m n c
ii:p	j iː p	m n c
ii:t	j iː t	m n c
ii:u	j iː w	m n c
ii:ɥ	j iː ɥ	m n c
ii:w	j iː w	m n c
ii:y	j iː ɥ	m n c
iiːi	j iː j	m n c
iiːj	j iː j	m n c
iiːk	j iː k	m n c
iiːm	j iː m	m n c
iiːn	j iː n	m n c
iiːng	j iː ŋ	m n c
iiːŋ	j iː ŋ	m n c
iiːp	j iː p	m n c
iiːt	j iː t	m n c
iiːu	j iː w	m n c
iiːɥ	j iː ɥ	m n c
iiːw	j iː w	m n c
iiːy	j iː ɥ	m n c
iii	j i j	m n c
iij	j i j	m n c
iik	j i k	m n c
iim	j i m	m n c
iin	j i n	m n c
iing	j i ŋ	m n c
iiŋ	j i ŋ	m n c
iip	j i p	m n c
iit	j i t	m n c
iiu	j i w	m n c
iiɥ	j i ɥ	m n c
iiw	j i w	m n c
iiy	j i ɥ	m n c
iɪ:i	j ɪː j	m n c
iɪ:j	j ɪː j	m n c
iɪ:k	j ɪː k	m n c
iɪ:m	j ɪː m	m n c
iɪ:n	j ɪː n	m n c
iɪ:ng	j ɪː ŋ	m n c
iɪ:ŋ	j ɪː ŋ	m n c
iɪ:p	j ɪː p	m n c
iɪ:t	j ɪː t	m n c
iɪ:u	j ɪː w	m n c
iɪ:ɥ	j ɪː ɥ	m n c
iɪ:w	j ɪː w	m n c
iɪ:y	j ɪː ɥ	m n c
iɪːi	j ɪː j	m n c
iɪːj	j ɪː j	m n c
iɪːk	j ɪː k	m n c
iɪːm	j ɪː m	m n c
iɪːn	j ɪː n	m n c
iɪːng	j ɪː ŋ	m n c
iɪːŋ	j ɪː ŋ	m n c
iɪːp	j ɪː p	m n c
iɪːt	j ɪː t	m n c
iɪːu	j ɪː w	m n c
iɪːɥ	j ɪː ɥ	m n c
iɪːw	j ɪː w	m n c
iɪːy	j ɪː ɥ	m n c
iɪi	j ɪ j	m n c
iɪj	j ɪ j	m n c
iɪk	j ɪ k	m n c
iɪm	j ɪ m	m n c
iɪn	j ɪ n	m n c
iɪng	j ɪ ŋ	m n c
iɪŋ	j ɪ ŋ	m n c
iɪp	j ɪ p	m n c
iɪt	j ɪ t	m n c
iɪu	j ɪ w	m n c
iɪɥ	j ɪ ɥ	m n c
iɪw	j ɪ w	m n c
iɪy	j ɪ ɥ	m n c
iɨ:i	j ɨː j	m n c
iɨ:j	j ɨː j	m n c
iɨ:k	j ɨː k	m n c
iɨ:m	j ɨː m	m n c
iɨ:n	j ɨː n	m n c
iɨ:ng	j ɨː ŋ	m n c
iɨ:ŋ	j ɨː ŋ	m n c
iɨ:p	j ɨː p	m n c
iɨ:t	j ɨː t	m n c
iɨ:u	j ɨː w	m n c
iɨ:ɥ	j ɨː ɥ	m n c
iɨ:w	j ɨː w	m n c
iɨ:y	j ɨː ɥ	m n c
iɨːi	j ɨː j	m n c
iɨːj	j ɨː j	m n c
iɨːk	j ɨː k	m n c
iɨːm	j ɨː m	m n c
iɨːn	j ɨː n	m n c
iɨːng	j ɨː ŋ	m n c
iɨːŋ	j ɨː ŋ	m n c
iɨːp	j ɨː p	m n c
iɨːt	j ɨː t	m n c
iɨːu	j ɨː w	m n c
iɨːɥ	j ɨː ɥ	m n c
iɨːw	j ɨː w	m n c
iɨːy	j ɨː ɥ	m n c
iɨi	j ɨ j	m n c
iɨj	j ɨ j	m n c
iɨk	j ɨ k	m n c
iɨm	j ɨ m	m n c
iɨn	j ɨ n	m n c
iɨng	j ɨ ŋ	m n c
iɨŋ	j ɨ ŋ	m n c
iɨp	j ɨ p	m n c
iɨt	j ɨ t	m n c
iɨu	j ɨ w	m n c
iɨɥ	j ɨ ɥ	m n c
iɨw	j ɨ w	m n c
iɨy	j ɨ ɥ	m n c
iᵻ:i	j ᵻː j	m n c
iᵻ:j	j ᵻː j	m n c
iᵻ:k	j ᵻː k	m n c
iᵻ:m	j ᵻː m	m n c
iᵻ:n	j ᵻː n	m n c
iᵻ:ng	j ᵻː ŋ	m n c
iᵻ:ŋ	j ᵻː ŋ	m n c
iᵻ:p	j ᵻː p	m n c
iᵻ:t	j ᵻː t	m n c
iᵻ:u	j ᵻː w	m n c
iᵻ:ɥ	j ᵻː ɥ	m n c
iᵻ:w	j ᵻː w	m n c
iᵻ:y	j ᵻː ɥ	m n c
iᵻːi	j ᵻː j	m n c
iᵻːj	j ᵻː j	m n c
iᵻːk	j ᵻː k	m n c
iᵻːm	j ᵻː m	m n c
iᵻːn	j ᵻː n	m n c
iᵻːng	j ᵻː ŋ	m n c
iᵻːŋ	j ᵻː ŋ	m n c
iᵻːp	j ᵻː p	m n c
iᵻːt	j ᵻː t	m n c
iᵻːu	j ᵻː w	m n c
iᵻːɥ	j ᵻː ɥ	m n c
iᵻːw	j ᵻː w	m n c
iᵻːy	j ᵻː ɥ	m n c
iᵻi	j ᵻ j	m n c
iᵻj	j ᵻ j	m n c
iᵻk	j ᵻ k	m n c
iᵻm	j ᵻ m	m n c
iᵻn	j ᵻ n	m n c
iᵻng	j ᵻ ŋ	m n c
iᵻŋ	j ᵻ ŋ	m n c
iᵻp	j ᵻ p	m n c
iᵻt	j ᵻ t	m n c
iᵻu	j ᵻ w	m n c
iᵻɥ	j ᵻ ɥ	m n c
iᵻw	j ᵻ w	m n c
iᵻy	j ᵻ ɥ	m n c
io:i	j oː j	m n c
iø:i	j øː j	m n c
io:j	j oː j	m n c
iø:j	j øː j	m n c
io:k	j oː k	m n c
iø:k	j øː k	m n c
io:m	j oː m	m n c
iø:m	j øː m	m n c
io:n	j oː n	m n c
iø:n	j øː n	m n c
io:ng	j oː ŋ	m n c
iø:ng	j øː ŋ	m n c
io:ŋ	j oː ŋ	m n c
iø:ŋ	j øː ŋ	m n c
io:p	j oː p	m n c
iø:p	j øː p	m n c
io:t	j oː t	m n c
iø:t	j øː t	m n c
io:u	j oː w	m n c
iø:u	j øː w	m n c
io:ɥ	j oː ɥ	m n c
iø:ɥ	j øː ɥ	m n c
io:w	j oː w	m n c
iø:w	j øː w	m n c
io:y	j oː ɥ	m n c
iø:y	j øː ɥ	m n c
ioːi	j oː j	m n c
iøːi	j øː j	m n c
ioːj	j oː j	m n c
iøːj	j øː j	m n c
ioːk	j oː k	m n c
iøːk	j øː k	m n c
ioːm	j oː m	m n c
iøːm	j øː m	m n c
ioːn	j oː n	m n c
iøːn	j øː n	m n c
ioːng	j oː ŋ	m n c
iøːng	j øː ŋ	m n c
ioːŋ	j oː ŋ	m n c
iøːŋ	j øː ŋ	m n c
ioːp	j oː p	m n c
iøːp	j øː p	m n c
ioːt	j oː t	m n c
iøːt	j øː t	m n c
ioːu	j oː w	m n c
iøːu	j øː w	m n c
ioːɥ	j oː ɥ	m n c
iøːɥ	j øː ɥ	m n c
ioːw	j oː w	m n c
iøːw	j øː w	m n c
ioːy	j oː ɥ	m n c
iøːy	j øː ɥ	m n c
ioi	j o j	m n c
iøi	j ø j	m n c
ioj	j o j	m n c
iøj	j ø j	m n c
iok	j o k	m n c
iøk	j ø k	m n c
iom	j o m	m n c
iøm	j ø m	m n c
ion	j o n	m n c
iøn	j ø n	m n c
iong	j o ŋ	m n c
iøng	j ø ŋ	m n c
ioŋ	j o ŋ	m n c
iøŋ	j ø ŋ	m n c
iop	j o p	m n c
iøp	j ø p	m n c
iot	j o t	m n c
iøt	j ø t	m n c
iou	j o w	m n c
iøu	j ø w	m n c
ioɥ	j o ɥ	m n c
iøɥ	j ø ɥ	m n c
iow	j o w	m n c
iøw	j ø w	m n c
ioy	j o ɥ	m n c
iøy	j ø ɥ	m n c
iɔ:i	j ɔː j	m n c
iɔ:j	j ɔː j	m n c
iɔ:k	j ɔː k	m n c
iɔ:m	j ɔː m	m n c
iɔ:n	j ɔː n	m n c
iɔ:ng	j ɔː ŋ	m n c
iɔ:ŋ	j ɔː ŋ	m n c
iɔ:p	j ɔː p	m n c
iɔ:t	j ɔː t	m n c
iɔ:u	j ɔː w	m n c
iɔ:ɥ	j ɔː ɥ	m n c
iɔ:w	j ɔː w	m n c
iɔ:y	j ɔː ɥ	m n c
iɔːi	j ɔː j	m n c
iɔːj	j ɔː j	m n c
iɔːk	j ɔː k	m n c
iɔːm	j ɔː m	m n c
iɔːn	j ɔː n	m n c
iɔːng	j ɔː ŋ	m n c
iɔːŋ	j ɔː ŋ	m n c
iɔːp	j ɔː p	m n c
iɔːt	j ɔː t	m n c
iɔːu	j ɔː w	m n c
iɔːɥ	j ɔː ɥ	m n c
iɔːw	j ɔː w	m n c
iɔːy	j ɔː ɥ	m n c
iɔi	j ɔ j	m n c
iɔj	j ɔ j	m n c
iɔk	j ɔ k	m n c
iɔm	j ɔ m	m n c
iɔn	j ɔ n	m n c
iɔng	j ɔ ŋ	m n c
iɔŋ	j ɔ ŋ	m n c
iɔp	j ɔ p	m n c
iɔt	j ɔ t	m n c
iɔu	j ɔ w	m n c
iɔɥ	j ɔ ɥ	m n c
iɔw	j ɔ w	m n c
iɔy	j ɔ ɥ	m n c
iɿ:i	j ɿː j	m n c
iɿ:j	j ɿː j	m n c
iɿ:k	j ɿː k	m n c
iɿ:m	j ɿː m	m n c
iɿ:n	j ɿː n	m n c
iɿ:ng	j ɿː ŋ	m n c
iɿ:ŋ	j ɿː ŋ	m n c
iɿ:p	j ɿː p	m n c
iɿ:t	j ɿː t	m n c
iɿ:u	j ɿː w	m n c
iɿ:ɥ	j ɿː ɥ	m n c
iɿ:w	j ɿː w	m n c
iɿ:y	j ɿː ɥ	m n c
iɿːi	j ɿː j	m n c
iɿːj	j ɿː j	m n c
iɿːk	j ɿː k	m n c
iɿːm	j ɿː m	m n c
iɿːn	j ɿː n	m n c
iɿːng	j ɿː ŋ	m n c
iɿːŋ	j ɿː ŋ	m n c
iɿːp	j ɿː p	m n c
iɿːt	j ɿː t	m n c
iɿːu	j ɿː w	m n c
iɿːɥ	j ɿː ɥ	m n c
iɿːw	j ɿː w	m n c
iɿːy	j ɿː ɥ	m n c
iɿi	j ɿ j	m n c
iɿj	j ɿ j	m n c
iɿk	j ɿ k	m n c
iɿm	j ɿ m	m n c
iɿn	j ɿ n	m n c
iɿng	j ɿ ŋ	m n c
iɿŋ	j ɿ ŋ	m n c
iɿp	j ɿ p	m n c
iɿt	j ɿ t	m n c
iɿu	j ɿ w	m n c
iɿɥ	j ɿ ɥ	m n c
iɿw	j ɿ w	m n c
iɿy	j ɿ ɥ	m n c
iʅ:i	j ʅː j	m n c
iʅ:j	j ʅː j	m n c
iʅ:k	j ʅː k	m n c
iʅ:m	j ʅː m	m n c
iʅ:n	j ʅː n	m n c
iʅ:ng	j ʅː ŋ	m n c
iʅ:ŋ	j ʅː ŋ	m n c
iʅ:p	j ʅː p	m n c
iʅ:t	j ʅː t	m n c
iʅ:u	j ʅː w	m n c
iʅ:ɥ	j ʅː ɥ	m n c
iʅ:w	j ʅː w	m n c
iʅ:y	j ʅː ɥ	m n c
iʅːi	j ʅː j	m n c
iʅːj	j ʅː j	m n c
iʅːk	j ʅː k	m n c
iʅːm	j ʅː m	m n c
iʅːn	j ʅː n	m n c
iʅːng	j ʅː ŋ	m n c
iʅːŋ	j ʅː ŋ	m n c
iʅːp	j ʅː p	m n c
iʅːt	j ʅː t	m n c
iʅːu	j ʅː w	m n c
iʅːɥ	j ʅː ɥ	m n c
iʅːw	j ʅː w	m n c
iʅːy	j ʅː ɥ	m n c
iʅi	j ʅ j	m n c
iʅj	j ʅ j	m n c
iʅk	j ʅ k	m n c
iʅm	j ʅ m	m n c
iʅn	j ʅ n	m n c
iʅng	j ʅ ŋ	m n c
iʅŋ	j ʅ ŋ	m n c
iʅp	j ʅ p	m n c
iʅt	j ʅ t	m n c
iʅu	j ʅ w	m n c
iʅɥ	j ʅ ɥ	m n c
iʅw	j ʅ w	m n c
iʅy	j ʅ ɥ	m n c
iu:i	j uː j	m n c
iu:j	j uː j	m n c
iu:k	j uː k	m n c
iu:m	j uː m	m n c
iu:n	j uː n	m n c
iu:ng	j uː ŋ	m n c
iu:ŋ	j uː ŋ	m n c
iu:p	j uː p	m n c
iu:t	j uː t	m n c
iu:u	j uː w	m n c
iu:ɥ	j uː ɥ	m n c
iu:w	j uː w	m n c
iu:y	j uː ɥ	m n c
iuːi	j uː j	m n c
iuːj	j uː j	m n c
iuːk	j uː k	m n c
iuːm	j uː m	m n c
iuːn	j uː n	m n c
iuːng	j uː ŋ	m n c
iuːŋ	j uː ŋ	m n c
iuːp	j uː p	m n c
iuːt	j uː t	m n c
iuːu	j uː w	m n c
iuːɥ	j uː ɥ	m n c
iuːw	j uː w	m n c
iuːy	j uː ɥ	m n c
iui	j u j	m n c
iuj	j u j	m n c
iuk	j u k	m n c
ium	j u m	m n c
iun	j u n	m n c
iung	j u ŋ	m n c
iuŋ	j u ŋ	m n c
iup	j u p	m n c
iut	j u t	m n c
iuu	j u w	m n c
iuɥ	j u ɥ	m n c
iuw	j u w	m n c
iuy	j u ɥ	m n c
iʉ:i	j ʉː j	m n c
iʉ:j	j ʉː j	m n c
iʉ:k	j ʉː k	m n c
iʉ:m	j ʉː m	m n c
iʉ:n	j ʉː n	m n c
iʉ:ng	j ʉː ŋ	m n c
iʉ:ŋ	j ʉː ŋ	m n c
iʉ:p	j ʉː p	m n c
iʉ:t	j ʉː t	m n c
iʉ:u	j ʉː w	m n c
iʉ:ɥ	j ʉː ɥ	m n c
iʉ:w	j ʉː w	m n c
iʉ:y	j ʉː ɥ	m n c
iʉːi	j ʉː j	m n c
iʉːj	j ʉː j	m n c
iʉːk	j ʉː k	m n c
iʉːm	j ʉː m	m n c
iʉːn	j ʉː n	m n c
iʉːng	j ʉː ŋ	m n c
iʉːŋ	j ʉː ŋ	m n c
iʉːp	j ʉː p	m n c
iʉːt	j ʉː t	m n c
iʉːu	j ʉː w	m n c
iʉːɥ	j ʉː ɥ	m n c
iʉːw	j ʉː w	m n c
iʉːy	j ʉː ɥ	m n c
iʉi	j ʉ j	m n c
iʉj	j ʉ j	m n c
iʉk	j ʉ k	m n c
iʉm	j ʉ m	m n c
iʉn	j ʉ n	m n c
iʉng	j ʉ ŋ	m n c
iʉŋ	j ʉ ŋ	m n c
iʉp	j ʉ p	m n c
iʉt	j ʉ t	m n c
iʉu	j ʉ w	m n c
iʉɥ	j ʉ ɥ	m n c
iʉw	j ʉ w	m n c
iʉy	j ʉ ɥ	m n c
iʊ:i	j ʊː j	m n c
iʊ:j	j ʊː j	m n c
iʊ:k	j ʊː k	m n c
iʊ:m	j ʊː m	m n c
iʊ:n	j ʊː n	m n c
iʊ:ng	j ʊː ŋ	m n c
iʊ:ŋ	j ʊː ŋ	m n c
iʊ:p	j ʊː p	m n c
iʊ:t	j ʊː t	m n c
iʊ:u	j ʊː w	m n c
iʊ:ɥ	j ʊː ɥ	m n c
iʊ:w	j ʊː w	m n c
iʊ:y	j ʊː ɥ	m n c
iʊːi	j ʊː j	m n c
iʊːj	j ʊː j	m n c
iʊːk	j ʊː k	m n c
iʊːm	j ʊː m	m n c
iʊːn	j ʊː n	m n c
iʊːng	j ʊː ŋ	m n c
iʊːŋ	j ʊː ŋ	m n c
iʊːp	j ʊː p	m n c
iʊːt	j ʊː t	m n c
iʊːu	j ʊː w	m n c
iʊːɥ	j ʊː ɥ	m n c
iʊːw	j ʊː w	m n c
iʊːy	j ʊː ɥ	m n c
iʊi	j ʊ j	m n c
iʊj	j ʊ j	m n c
iʊk	j ʊ k	m n c
iʊm	j ʊ m	m n c
iʊn	j ʊ n	m n c
iʊng	j ʊ ŋ	m n c
iʊŋ	j ʊ ŋ	m n c
iʊp	j ʊ p	m n c
iʊt	j ʊ t	m n c
iʊu	j ʊ w	m n c
iʊɥ	j ʊ ɥ	m n c
iʊw	j ʊ w	m n c
iʊy	j ʊ ɥ	m n c
ja:i	j aː j	m n c
ja:j	j aː j	m n c
ja:k	j aː k	m n c
ja:m	j aː m	m n c
ja:n	j aː n	m n c
ja:ng	j aː ŋ	m n c
ja:ŋ	j aː ŋ	m n c
ja:p	j aː p	m n c
ja:t	j aː t	m n c
ja:u	j aː w	m n c
ja:ɥ	j aː ɥ	m n c
ja:w	j aː w	m n c
ja:y	j aː ɥ	m n c
jaːi	j aː j	m n c
jaːj	j aː j	m n c
jaːk	j aː k	m n c
jaːm	j aː m	m n c
jaːn	j aː n	m n c
jaːng	j aː ŋ	m n c
jaːŋ	j aː ŋ	m n c
jaːp	j aː p	m n c
jaːt	j aː t	m n c
jaːu	j aː w	m n c
jaːɥ	j aː ɥ	m n c
jaːw	j aː w	m n c
jaːy	j aː ɥ	m n c
jai	j a j	m n c
jaj	j a j	m n c
jak	j a k	m n c
jam	j a m	m n c
jan	j a n	m n c
jang	j a ŋ	m n c
jaŋ	j a ŋ	m n c
jap	j a p	m n c
jat	j a t	m n c
jau	j a w	m n c
jaɥ	j a ɥ	m n c
jaw	j a w	m n c
jay	j a ɥ	m n c
jᴀ:i	j ᴀː j	m n c
jᴀ:j	j ᴀː j	m n c
jᴀ:k	j ᴀː k	m n c
jᴀ:m	j ᴀː m	m n c
jᴀ:n	j ᴀː n	m n c
jᴀ:ng	j ᴀː ŋ	m n c
jᴀ:ŋ	j ᴀː ŋ	m n c
jᴀ:p	j ᴀː p	m n c
jᴀ:t	j ᴀː t	m n c
jᴀ:u	j ᴀː w	m n c
jᴀ:ɥ	j ᴀː ɥ	m n c
jᴀ:w	j ᴀː w	m n c
jᴀ:y	j ᴀː ɥ	m n c
jᴀːi	j ᴀː j	m n c
jᴀːj	j ᴀː j	m n c
jᴀːk	j ᴀː k	m n c
jᴀːm	j ᴀː m	m n c
jᴀːn	j ᴀː n	m n c
jᴀːng	j ᴀː ŋ	m n c
jᴀːŋ	j ᴀː ŋ	m n c
jᴀːp	j ᴀː p	m n c
jᴀːt	j ᴀː t	m n c
jᴀːu	j ᴀː w	m n c
jᴀːɥ	j ᴀː ɥ	m n c
jᴀːw	j ᴀː w	m n c
jᴀːy	j ᴀː ɥ	m n c
jᴀi	j ᴀ j	m n c
jᴀj	j ᴀ j	m n c
jᴀk	j ᴀ k	m n c
jᴀm	j ᴀ m	m n c
jᴀn	j ᴀ n	m n c
jᴀng	j ᴀ ŋ	m n c
jᴀŋ	j ᴀ ŋ	m n c
jᴀp	j ᴀ p	m n c
jᴀt	j ᴀ t	m n c
jᴀu	j ᴀ w	m n c
jᴀɥ	j ᴀ ɥ	m n c
jᴀw	j ᴀ w	m n c
jᴀy	j ᴀ ɥ	m n c
jɐ:i	j ɐː j	m n c
jɐ:j	j ɐː j	m n c
jɐ:k	j ɐː k	m n c
jɐ:m	j ɐː m	m n c
jɐ:n	j ɐː n	m n c
jɐ:ng	j ɐː ŋ	m n c
jɐ:ŋ	j ɐː ŋ	m n c
jɐ:p	j ɐː p	m n c
jɐ:t	j ɐː t	m n c
jɐ:u	j ɐː w	m n c
jɐ:ɥ	j ɐː ɥ	m n c
jɐ:w	j ɐː w	m n c
jɐ:y	j ɐː ɥ	m n c
jɐːi	j ɐː j	m n c
jɐːj	j ɐː j	m n c
jɐːk	j ɐː k	m n c
jɐːm	j ɐː m	m n c
jɐːn	j ɐː n	m n c
jɐːng	j ɐː ŋ	m n c
jɐːŋ	j ɐː ŋ	m n c
jɐːp	j ɐː p	m n c
jɐːt	j ɐː t	m n c
jɐːu	j ɐː w	m n c
jɐːɥ	j ɐː ɥ	m n c
jɐːw	j ɐː w	m n c
jɐːy	j ɐː ɥ	m n c
jɐi	j ɐ j	m n c
jɐj	j ɐ j	m n c
jɐk	j ɐ k	m n c
jɐm	j ɐ m	m n c
jɐn	j ɐ n	m n c
jɐng	j ɐ ŋ	m n c
jɐŋ	j ɐ ŋ	m n c
jɐp	j ɐ p	m n c
jɐt	j ɐ t	m n c
jɐu	j ɐ w	m n c
jɐɥ	j ɐ ɥ	m n c
jɐw	j ɐ w	m n c
jɐy	j ɐ ɥ	m n c
jɑ:i	j ɑː j	m n c
jɑ:j	j ɑː j	m n c
jɑ:k	j ɑː k	m n c
jɑ:m	j ɑː m	m n c
jɑ:n	j ɑː n	m n c
jɑ:ng	j ɑː ŋ	m n c
jɑ:ŋ	j ɑː ŋ	m n c
jɑ:p	j ɑː p	m n c
jɑ:t	j ɑː t	m n c
jɑ:u	j ɑː w	m n c
jɑ:ɥ	j ɑː ɥ	m n c
jɑ:w	j ɑː w	m n c
jɑ:y	j ɑː ɥ	m n c
jɑːi	j ɑː j	m n c
jɑːj	j ɑː j	m n c
jɑːk	j ɑː k	m n c
jɑːm	j ɑː m	m n c
jɑːn	j ɑː n	m n c
jɑːng	j ɑː ŋ	m n c
jɑːŋ	j ɑː ŋ	m n c
jɑːp	j ɑː p	m n c
jɑːt	j ɑː t	m n c
jɑːu	j ɑː w	m n c
jɑːɥ	j ɑː ɥ	m n c
jɑːw	j ɑː w	m n c
jɑːy	j ɑː ɥ	m n c
jɑi	j ɑ j	m n c
jɑj	j ɑ j	m n c
jɑk	j ɑ k	m n c
jɑm	j ɑ m	m n c
jɑn	j ɑ n	m n c
jɑng	j ɑ ŋ	m n c
jɑŋ	j ɑ ŋ	m n c
jɑp	j ɑ p	m n c
jɑt	j ɑ t	m n c
jɑu	j ɑ w	m n c
jɑɥ	j ɑ ɥ	m n c
jɑw	j ɑ w	m n c
jɑy	j ɑ ɥ	m n c
je:i	j eː j	m n c
je:j	j eː j	m n c
je:k	j eː k	m n c
je:m	j eː m	m n c
je:n	j eː n	m n c
je:ng	j eː ŋ	m n c
je:ŋ	j eː ŋ	m n c
je:p	j eː p	m n c
je:t	j eː t	m n c
je:u	j eː w	m n c
je:ɥ	j eː ɥ	m n c
je:w	j eː w	m n c
je:y	j eː ɥ	m n c
jeːi	j eː j	m n c
jeːj	j eː j	m n c
jeːk	j eː k	m n c
jeːm	j eː m	m n c
jeːn	j eː n	m n c
jeːng	j eː ŋ	m n c
jeːŋ	j eː ŋ	m n c
jeːp	j eː p	m n c
jeːt	j eː t	m n c
jeːu	j eː w	m n c
jeːɥ	j eː ɥ	m n c
jeːw	j eː w	m n c
jeːy	j eː ɥ	m n c
jei	j e j	m n c
jej	j e j	m n c
jek	j e k	m n c
jem	j e m	m n c
jen	j e n	m n c
jeng	j e ŋ	m n c
jeŋ	j e ŋ	m n c
jep	j e p	m n c
jet	j e t	m n c
jeu	j e w	m n c
jeɥ	j e ɥ	m n c
jew	j e w	m n c
jey	j e ɥ	m n c
jᴇ:i	j ᴇː j	m n c
jᴇ:j	j ᴇː j	m n c
jᴇ:k	j ᴇː k	m n c
jᴇ:m	j ᴇː m	m n c
jᴇ:n	j ᴇː n	m n c
jᴇ:ng	j ᴇː ŋ	m n c
jᴇ:ŋ	j ᴇː ŋ	m n c
jᴇ:p	j ᴇː p	m n c
jᴇ:t	j ᴇː t	m n c
jᴇ:u	j ᴇː w	m n c
jᴇ:ɥ	j ᴇː ɥ	m n c
jᴇ:w	j ᴇː w	m n c
jᴇ:y	j ᴇː ɥ	m n c
jᴇːi	j ᴇː j	m n c
jᴇːj	j ᴇː j	m n c
jᴇːk	j ᴇː k	m n c
jᴇːm	j ᴇː m	m n c
jᴇːn	j ᴇː n	m n c
jᴇːng	j ᴇː ŋ	m n c
jᴇːŋ	j ᴇː ŋ	m n c
jᴇːp	j ᴇː p	m n c
jᴇːt	j ᴇː t	m n c
jᴇːu	j ᴇː w	m n c
jᴇːɥ	j ᴇː ɥ	m n c
jᴇːw	j ᴇː w	m n c
jᴇːy	j ᴇː ɥ	m n c
jᴇi	j ᴇ j	m n c
jᴇj	j ᴇ j	m n c
jᴇk	j ᴇ k	m n c
jᴇm	j ᴇ m	m n c
jᴇn	j ᴇ n	m n c
jᴇng	j ᴇ ŋ	m n c
jᴇŋ	j ᴇ ŋ	m n c
jᴇp	j ᴇ p	m n c
jᴇt	j ᴇ t	m n c
jᴇu	j ᴇ w	m n c
jᴇɥ	j ᴇ ɥ	m n c
jᴇw	j ᴇ w	m n c
jᴇy	j ᴇ ɥ	m n c
jə:i	j əː j	m n c
jə:j	j əː j	m n c
jə:k	j əː k	m n c
jə:m	j əː m	m n c
jə:n	j əː n	m n c
jə:ng	j əː ŋ	m n c
jə:ŋ	j əː ŋ	m n c
jə:p	j əː p	m n c
jə:t	j əː t	m n c
jə:u	j əː w	m n c
jə:ɥ	j əː ɥ	m n c
jə:w	j əː w	m n c
jə:y	j əː ɥ	m n c
jəːi	j əː j	m n c
jəːj	j əː j	m n c
jəːk	j əː k	m n c
jəːm	j əː m	m n c
jəːn	j əː n	m n c
jəːng	j əː ŋ	m n c
jəːŋ	j əː ŋ	m n c
jəːp	j əː p	m n c
jəːt	j əː t	m n c
jəːu	j əː w	m n c
jəːɥ	j əː ɥ	m n c
jəːw	j əː w	m n c
jəːy	j əː ɥ	m n c
jəi	j ə j	m n c
jəj	j ə j	m n c
jək	j ə k	m n c
jəm	j ə m	m n c
jən	j ə n	m n c
jəng	j ə ŋ	m n c
jəŋ	j ə ŋ	m n c
jəp	j ə p	m n c
jət	j ə t	m n c
jəu	j ə w	m n c
jəɥ	j ə ɥ	m n c
jəw	j ə w	m n c
jəy	j ə ɥ	m n c
jɛ:i	j ɛː j	m n c
jɛ:j	j ɛː j	m n c
jɛ:k	j ɛː k	m n c
jɛ:m	j ɛː m	m n c
jɛ:n	j ɛː n	m n c
jɛ:ng	j ɛː ŋ	m n c
jɛ:ŋ	j ɛː ŋ	m n c
jɛ:p	j ɛː p	m n c
jɛ:t	j ɛː t	m n c
jɛ:u	j ɛː w	m n c
jɛ:ɥ	j ɛː ɥ	m n c
jɛ:w	j ɛː w	m n c
jɛ:y	j ɛː ɥ	m n c
jɛːi	j ɛː j	m n c
jɛːj	j ɛː j	m n c
jɛːk	j ɛː k	m n c
jɛːm	j ɛː m	m n c
jɛːn	j ɛː n	m n c
jɛːng	j ɛː ŋ	m n c
jɛːŋ	j ɛː ŋ	m n c
jɛːp	j ɛː p	m n c
jɛːt	j ɛː t	m n c
jɛːu	j ɛː w	m n c
jɛːɥ	j ɛː ɥ	m n c
jɛːw	j ɛː w	m n c
jɛːy	j ɛː ɥ	m n c
jɛi	j ɛ j	m n c
jɛj	j ɛ j	m n c
jɛk	j ɛ k	m n c
jɛm	j ɛ m	m n c
jɛn	j ɛ n	m n c
jɛng	j ɛ ŋ	m n c
jɛŋ	j ɛ ŋ	m n c
jɛp	j ɛ p	m n c
jɛt	j ɛ t	m n c
jɛu	j ɛ w	m n c
jɛɥ	j ɛ ɥ	m n c
jɛw	j ɛ w	m n c
jɛy	j ɛ ɥ	m n c
jɚ:i	j ɚː j	m n c
jɚ:j	j ɚː j	m n c
jɚ:k	j ɚː k	m n c
jɚ:m	j ɚː m	m n c
jɚ:n	j ɚː n	m n c
jɚ:ng	j ɚː ŋ	m n c
jɚ:ŋ	j ɚː ŋ	m n c
jɚ:p	j ɚː p	m n c
